car_number,Make,Model,Year,Mileage,Condition,Price
366,Honda,Silverado,2016,100367,Good,20981.75
91,Chevrolet,Silverado,2021,70347,Good,17482.55
339,Nissan,Altima,2014,102123,Fair,22893.95
897,Honda,Camry,2020,75326,Excellent,18233.7
564,Ford,Camry,2016,114976,Good,20251.3
345,Toyota,Civic,2020,94847,Good,17257.75
776,Chevrolet,Altima,2015,148214,Excellent,19589.4
241,Chevrolet,Altima,2021,51669,Excellent,18416.65
13,Chevrolet,Silverado,2021,97489,Excellent,16125.65
315,Chevrolet,Camry,2016,51005,Excellent,23449.85
600,Toyota,Altima,2012,139087,Excellent,23045.75
387,Honda,Silverado,2016,130595,Good,19470.15
273,Toyota,Silverado,2011,73851,Good,27307.55
166,Ford,Civic,2018,62889,Good,20855.55
840,Honda,Civic,2019,30687,Fair,21465.75
992,Ford,Civic,2013,53898,Excellent,26305.1
646,Honda,Altima,2010,123807,Excellent,25809.75
818,Honda,Altima,2017,15545,Excellent,24222.85
484,Ford,Altima,2010,134717,Excellent,25264.15
980,Chevrolet,Camry,2021,130741,Fair,14462.95
504,Ford,F-150,2014,27120,Excellent,26644.1
831,Honda,Silverado,2019,122062,Good,16896.8
243,Nissan,Camry,2012,31349,Excellent,28432.65
566,Chevrolet,Silverado,2018,65155,Good,20742.25
875,Toyota,Civic,2015,22308,Fair,25884.5
562,Toyota,Altima,2021,82355,Good,16882.35
686,Nissan,Altima,2012,149794,Excellent,22510.4
189,Chevrolet,Altima,2015,10380,Excellent,26481.1
782,Nissan,Camry,2017,123512,Excellent,18824.5
699,Chevrolet,Camry,2013,39120,Fair,27044.1
475,Ford,F-150,2019,22474,Excellent,21876.4
681,Nissan,Altima,2018,97881,Excellent,19106.05
510,Nissan,Camry,2020,25872,Excellent,20706.4
58,Toyota,Civic,2018,90846,Good,19457.8
474,Honda,Camry,2016,125259,Fair,19737.05
560,Chevrolet,Camry,2018,112050,Excellent,18397.6
856,Toyota,Camry,2022,116465,Excellent,14176.85
747,Chevrolet,Civic,2017,45739,Excellent,22713.15
252,Chevrolet,Civic,2019,63972,Excellent,19801.5
21,Nissan,Camry,2021,119784,Excellent,15010.8
313,Honda,F-150,2012,131779,Fair,23411.15
459,Honda,Silverado,2017,70771,Excellent,21461.55
160,Nissan,Camry,2019,88786,Excellent,18560.8
276,Honda,Civic,2011,117131,Good,25143.45
955,Toyota,Altima,2022,75254,Excellent,16237.4
191,Chevrolet,Civic,2018,48931,Excellent,21553.55
385,Ford,Civic,2014,44962,Excellent,25752.0
805,Chevrolet,Altima,2016,56247,Good,23187.75
413,Toyota,F-150,2020,99917,Fair,17004.15
491,Nissan,Altima,2011,90734,Good,26463.4
343,Nissan,Altima,2016,61257,Excellent,22937.25
769,Ford,Silverado,2014,106467,Fair,22676.75
308,Honda,Silverado,2015,81927,Excellent,22903.75
661,Nissan,Altima,2019,104878,Excellent,17756.2
130,Nissan,F-150,2011,94477,Excellent,26276.15
663,Honda,Silverado,2012,143456,Excellent,22827.3
871,Toyota,Camry,2012,29265,Excellent,28536.85
99,Nissan,Civic,2015,53814,Excellent,24309.4
372,Nissan,F-150,2016,39911,Good,24004.55
87,Toyota,Silverado,2011,146622,Excellent,23669.0
458,Chevrolet,Altima,2012,149613,Good,22519.45
330,Chevrolet,F-150,2022,26242,Excellent,18687.9
214,Nissan,Camry,2015,98839,Excellent,22058.15
466,Honda,F-150,2016,46605,Excellent,23669.85
121,Toyota,Silverado,2012,22391,Excellent,28880.45
614,Nissan,F-150,2021,60272,Fair,17986.5
20,Ford,Silverado,2015,126395,Good,20680.35
700,Toyota,Camry,2012,20345,Good,28982.85
71,Toyota,Civic,2016,96869,Fair,21156.45
106,Chevrolet,Civic,2011,22840,Excellent,29857.9
270,Nissan,Silverado,2018,81973,Fair,19901.35
860,Honda,Civic,2014,10120,Excellent,27494.1
435,Chevrolet,F-150,2021,102564,Excellent,15871.9
102,Nissan,F-150,2017,50778,Excellent,22461.1
